finding_id,source_path,corpus_path,method,score,status,decision,resolved,evidence
SIM-000001,packages/domain-core/src/execution-simulation/index.ts,@nestjs+common@10.4.22_class-transformer@0.5.1_class-validator@0.14.4_reflect-metadata@0.2.2_rxjs@7.8.2/@nestjs/common/pipes/file/index.d.ts,NORMALIZED_TOKENS,1.000000,POSSIBLE_DERIVATIVE,RESOLVED_RE_EXPORT_BARREL_NO_EXPRESSION,RESOLVED,"Re-verified now: the normalized token set [""*"","";"",""<STRING>"",""export"",""from""] lies within the re-export idiom; module paths are erased by normalization, so the match carries no protectable expression."
SIM-000002,packages/domain-core/src/execution-simulation/index.ts,@nestjs+core@10.4.22_@nestjs+common@10.4.22_class-transformer@0.5.1_class-validator@0.1_23bb31028a62d4e08458c3b53296d643/@nestjs/core/repl/native-functions/index.d.ts,NORMALIZED_TOKENS,1.000000,POSSIBLE_DERIVATIVE,RESOLVED_RE_EXPORT_BARREL_NO_EXPRESSION,RESOLVED,"Re-verified now: the normalized token set [""*"","";"",""<STRING>"",""export"",""from""] lies within the re-export idiom; module paths are erased by normalization, so the match carries no protectable expression."
SIM-000003,packages/domain-core/src/execution-simulation/index.ts,fork-ts-checker-webpack-plugin@9.0.2_typescript@5.7.2_webpack@5.97.1/fork-ts-checker-webpack-plugin/lib/formatter/index.d.ts,NORMALIZED_TOKENS,1.000000,POSSIBLE_DERIVATIVE,RESOLVED_RE_EXPORT_BARREL_NO_EXPRESSION,RESOLVED,"Re-verified now: the normalized token set [""*"","";"",""<STRING>"",""export"",""from""] lies within the re-export idiom; module paths are erased by normalization, so the match carries no protectable expression."
SIM-000004,packages/domain-core/src/execution-simulation/index.ts,zod@4.3.6/zod/src/v3/external.ts,NORMALIZED_TOKENS,1.000000,POSSIBLE_DERIVATIVE,RESOLVED_RE_EXPORT_BARREL_NO_EXPRESSION,RESOLVED,"Re-verified now: the normalized token set [""*"","";"",""<STRING>"",""export"",""from""] lies within the re-export idiom; module paths are erased by normalization, so the match carries no protectable expression."
SIM-000005,packages/domain-core/src/execution-simulation/index.ts,zod@4.3.6/zod/v3/external.d.ts,NORMALIZED_TOKENS,1.000000,POSSIBLE_DERIVATIVE,RESOLVED_RE_EXPORT_BARREL_NO_EXPRESSION,RESOLVED,"Re-verified now: the normalized token set [""*"","";"",""<STRING>"",""export"",""from""] lies within the re-export idiom; module paths are erased by normalization, so the match carries no protectable expression."
SIM-000006,packages/domain-core/src/execution-simulation/index.ts,zod@4.3.6/zod/v3/external.js,NORMALIZED_TOKENS,1.000000,POSSIBLE_DERIVATIVE,RESOLVED_RE_EXPORT_BARREL_NO_EXPRESSION,RESOLVED,"Re-verified now: the normalized token set [""*"","";"",""<STRING>"",""export"",""from""] lies within the re-export idiom; module paths are erased by normalization, so the match carries no protectable expression."
SIM-000007,packages/domain-core/src/execution-simulation/index.ts,@angular-devkit+core@17.3.11_chokidar@3.6.0/@angular-devkit/core/src/logger/index.d.ts,WINNOWING_SIGNATURE,1.000000,POSSIBLE_DERIVATIVE,RESOLVED_RE_EXPORT_BARREL_NO_EXPRESSION,RESOLVED,"Re-verified now: the normalized token set [""*"","";"",""<STRING>"",""export"",""from""] lies within the re-export idiom; module paths are erased by normalization, so the match carries no protectable expression."
SIM-000008,packages/domain-core/src/execution-simulation/index.ts,@nestjs+cli@10.4.9/@nestjs/cli/actions/index.d.ts,WINNOWING_SIGNATURE,1.000000,POSSIBLE_DERIVATIVE,RESOLVED_RE_EXPORT_BARREL_NO_EXPRESSION,RESOLVED,"Re-verified now: the normalized token set [""*"","";"",""<STRING>"",""export"",""from""] lies within the re-export idiom; module paths are erased by normalization, so the match carries no protectable expression."
SIM-000009,packages/domain-core/src/execution-simulation/index.ts,@nestjs+cli@10.4.9/@nestjs/cli/lib/package-managers/index.d.ts,WINNOWING_SIGNATURE,1.000000,POSSIBLE_DERIVATIVE,RESOLVED_RE_EXPORT_BARREL_NO_EXPRESSION,RESOLVED,"Re-verified now: the normalized token set [""*"","";"",""<STRING>"",""export"",""from""] lies within the re-export idiom; module paths are erased by normalization, so the match carries no protectable expression."
SIM-000010,packages/domain-core/src/execution-simulation/index.ts,@nestjs+cli@10.4.9/@nestjs/cli/lib/schematics/index.d.ts,WINNOWING_SIGNATURE,1.000000,POSSIBLE_DERIVATIVE,RESOLVED_RE_EXPORT_BARREL_NO_EXPRESSION,RESOLVED,"Re-verified now: the normalized token set [""*"","";"",""<STRING>"",""export"",""from""] lies within the re-export idiom; module paths are erased by normalization, so the match carries no protectable expression."
SIM-000011,packages/domain-core/src/execution-simulation/index.ts,@nestjs+cli@10.4.9/@nestjs/cli/lib/ui/index.d.ts,WINNOWING_SIGNATURE,1.000000,POSSIBLE_DERIVATIVE,RESOLVED_RE_EXPORT_BARREL_NO_EXPRESSION,RESOLVED,"Re-verified now: the normalized token set [""*"","";"",""<STRING>"",""export"",""from""] lies within the re-export idiom; module paths are erased by normalization, so the match carries no protectable expression."
SIM-000012,packages/domain-core/src/execution-simulation/index.ts,@nestjs+common@10.4.22_class-transformer@0.5.1_class-validator@0.14.4_reflect-metadata@0.2.2_rxjs@7.8.2/@nestjs/common/cache/index.d.ts,WINNOWING_SIGNATURE,1.000000,POSSIBLE_DERIVATIVE,RESOLVED_RE_EXPORT_BARREL_NO_EXPRESSION,RESOLVED,"Re-verified now: the normalized token set [""*"","";"",""<STRING>"",""export"",""from""] lies within the re-export idiom; module paths are erased by normalization, so the match carries no protectable expression."
SIM-000013,packages/domain-core/src/execution-simulation/index.ts,@nestjs+common@10.4.22_class-transformer@0.5.1_class-validator@0.14.4_reflect-metadata@0.2.2_rxjs@7.8.2/@nestjs/common/decorators/core/index.d.ts,WINNOWING_SIGNATURE,1.000000,POSSIBLE_DERIVATIVE,RESOLVED_RE_EXPORT_BARREL_NO_EXPRESSION,RESOLVED,"Re-verified now: the normalized token set [""*"","";"",""<STRING>"",""export"",""from""] lies within the re-export idiom; module paths are erased by normalization, so the match carries no protectable expression."
