path,criticality,total_lines,owner_lines,ai_lines,third_party_human_lines,automation_lines,unattributed_lines,unregistered_lines,human_authorship
.env.example,STANDARD,117,89,28,0,0,0,0,SURVIVING
.github/CODEOWNERS,STANDARD,43,43,0,0,0,0,0,SURVIVING
.github/ISSUE_TEMPLATE/agent_task.md,STANDARD,56,56,0,0,0,0,0,SURVIVING
.github/ISSUE_TEMPLATE/platform-v7-agent-run.md,STANDARD,42,42,0,0,0,0,0,SURVIVING
.github/codeql/codeql-config.yml,STANDARD,36,0,36,0,0,0,0,NONE_SURVIVING
.github/container-images/ci-postgres-inventory.v1.json,STANDARD,235,0,235,0,0,0,0,NONE_SURVIVING
.github/container-images/postgres-16-alpine.v1.json,STANDARD,36,0,36,0,0,0,0,NONE_SURVIVING
.github/container-images/postgres-16.4-alpine3.20.v1.json,STANDARD,36,0,36,0,0,0,0,NONE_SURVIVING
.github/container-images/postgres-16.v1.json,STANDARD,36,0,36,0,0,0,0,NONE_SURVIVING
.github/dependabot.yml,STANDARD,13,13,0,0,0,0,0,SURVIVING
.github/labeler.yml,STANDARD,21,21,0,0,0,0,0,SURVIVING
.github/pull_request_template.md,STANDARD,35,35,0,0,0,0,0,SURVIVING
.github/release-triggers/ai-in-action-b08a5cf.md,STANDARD,6,6,0,0,0,0,0,SURVIVING
.github/release-triggers/ai-in-action-c549d344.md,STANDARD,6,6,0,0,0,0,0,SURVIVING
.github/release-triggers/ai-page-entry-and-release-note.md,STANDARD,1,1,0,0,0,0,0,SURVIVING
.github/release-triggers/ai-page-entry-and-release.md,STANDARD,6,6,0,0,0,0,0,SURVIVING
.github/release-triggers/tai-p0-web-24277e0.md,STANDARD,15,15,0,0,0,0,0,SURVIVING
.github/scripts/pc-crop-08f-prisma-void-lock-fix.py,STANDARD,26,26,0,0,0,0,0,SURVIVING
.github/scripts/pc-crop-08f-sdiz-remediation.py,STANDARD,727,699,28,0,0,0,0,SURVIVING
.github/scripts/tai-gateway-ui-readonly-remediation.py,STANDARD,210,0,210,0,0,0,0,NONE_SURVIVING
.github/test.txt,STANDARD,1,1,0,0,0,0,0,SURVIVING
.github/workflows/api-test.yml,STANDARD,133,97,36,0,0,0,0,SURVIVING
.github/workflows/auction-atomic-acceptance.yml,STANDARD,163,161,2,0,0,0,0,SURVIVING
.github/workflows/automerge.yml,STANDARD,208,208,0,0,0,0,0,SURVIVING
.github/workflows/check-ai-live-c21eec0.yml,STANDARD,48,48,0,0,0,0,0,SURVIVING
.github/workflows/ci-postgres-image-authority.yml,STANDARD,60,0,60,0,0,0,0,NONE_SURVIVING
.github/workflows/ci-postgres-image-mirror.yml,STANDARD,175,0,175,0,0,0,0,NONE_SURVIVING
.github/workflows/ci.yml,STANDARD,327,324,3,0,0,0,0,SURVIVING
.github/workflows/codeql-platform-v7-report.yml,STANDARD,250,48,202,0,0,0,0,SURVIVING
.github/workflows/company-os-control-host-cutover-authorized-20260818.yml,STANDARD,899,899,0,0,0,0,0,SURVIVING
.github/workflows/company-os-control-host-cutover-observer.yml,STANDARD,108,108,0,0,0,0,0,SURVIVING
.github/workflows/company-os-control-host-dns-acceptance.yml,STANDARD,136,136,0,0,0,0,0,SURVIVING
.github/workflows/company-os-control-host-failure-diagnostic.yml,STANDARD,160,160,0,0,0,0,0,SURVIVING
.github/workflows/company-os-control-host-readiness-auto.yml,STANDARD,155,155,0,0,0,0,0,SURVIVING
.github/workflows/company-os-control-host-readiness-v2.yml,STANDARD,669,669,0,0,0,0,0,SURVIVING
.github/workflows/company-os-control-host-readiness.yml,STANDARD,409,409,0,0,0,0,0,SURVIVING
.github/workflows/company-os-control-host-release-recovery.yml,STANDARD,308,308,0,0,0,0,0,SURVIVING
.github/workflows/company-os-f2c-merge-controller.yml,STANDARD,226,226,0,0,0,0,0,SURVIVING
.github/workflows/company-os-f3-foundation-merge-controller.yml,STANDARD,215,215,0,0,0,0,0,SURVIVING
.github/workflows/company-os-f3-stack-reconciler.yml,STANDARD,313,313,0,0,0,0,0,SURVIVING
.github/workflows/company-os-f3a-application-merge-controller.yml,STANDARD,229,229,0,0,0,0,0,SURVIVING
.github/workflows/company-os-f3b-authority-merge-controller.yml,STANDARD,216,216,0,0,0,0,0,SURVIVING
.github/workflows/company-os-f3c-session-merge-controller.yml,STANDARD,213,213,0,0,0,0,0,SURVIVING
.github/workflows/company-os-f3d-postgres-merge-controller.yml,STANDARD,222,222,0,0,0,0,0,SURVIVING
.github/workflows/company-os-f3e-services-merge-controller.yml,STANDARD,215,215,0,0,0,0,0,SURVIVING
.github/workflows/dependency-review.yml,STANDARD,219,219,0,0,0,0,0,SURVIVING
.github/workflows/deploy-ai-web-vps-c21eec0.yml,STANDARD,580,580,0,0,0,0,0,SURVIVING
.github/workflows/design-system-v8.yml,STANDARD,135,135,0,0,0,0,0,SURVIVING
.github/workflows/disputes-postgresql-acceptance.yml,STANDARD,159,158,1,0,0,0,0,SURVIVING
.github/workflows/docker-publish.yml,STANDARD,356,356,0,0,0,0,0,SURVIVING
.github/workflows/domain-core.yml,STANDARD,45,45,0,0,0,0,0,SURVIVING
.github/workflows/gekta-mobile-ux-pr-acceptance.yml,STANDARD,98,98,0,0,0,0,0,SURVIVING
.github/workflows/gekta-p0-speed-g3b-candidate.yml,STANDARD,256,256,0,0,0,0,0,SURVIVING
.github/workflows/gekta-p0-speed-g3c-candidate.yml,STANDARD,264,264,0,0,0,0,0,SURVIVING
.github/workflows/gekta-p0-speed-g3c-cmdline-observer.yml,STANDARD,371,371,0,0,0,0,0,SURVIVING
.github/workflows/gekta-p0-speed-g3c-fixed-rollback.yml,STANDARD,196,196,0,0,0,0,0,SURVIVING
.github/workflows/gekta-p0-speed-g3d-bootstrap-stage.yml,STANDARD,219,219,0,0,0,0,0,SURVIVING
.github/workflows/gekta-p0-speed-g3d-parallel2.yml,STANDARD,236,236,0,0,0,0,0,SURVIVING
.github/workflows/gekta-p0-speed-g3e-ubatch256.yml,STANDARD,280,280,0,0,0,0,0,SURVIVING
.github/workflows/gekta-p0-speed-model-host-control-probe.yml,STANDARD,340,340,0,0,0,0,0,SURVIVING
.github/workflows/gekta-p0-speed-model-host-diagnostic.yml,STANDARD,389,389,0,0,0,0,0,SURVIVING
.github/workflows/gekta-p0-speed-model-metrics.yml,STANDARD,463,463,0,0,0,0,0,SURVIVING
.github/workflows/gekta-p0-speed2-controller.yml,STANDARD,595,595,0,0,0,0,0,SURVIVING
.github/workflows/gekta-production-direct-chat-diagnostic.yml,STANDARD,227,227,0,0,0,0,0,SURVIVING
.github/workflows/gekta-production-qwen-wiring-diagnostic.yml,STANDARD,230,230,0,0,0,0,0,SURVIVING
.github/workflows/gekta-production-request-path-diagnostic.yml,STANDARD,235,235,0,0,0,0,0,SURVIVING
.github/workflows/gekta-production-static-502-diagnostic.yml,STANDARD,329,329,0,0,0,0,0,SURVIVING
.github/workflows/gekta-speed-production-baseline.yml,STANDARD,232,232,0,0,0,0,0,SURVIVING
.github/workflows/gekta-speed-production-browser-baseline.yml,STANDARD,453,453,0,0,0,0,0,SURVIVING
.github/workflows/immutable-release-authority-acceptance.yml,STANDARD,380,379,1,0,0,0,0,SURVIVING
.github/workflows/indexnow-submit.yml,STANDARD,68,68,0,0,0,0,0,SURVIVING
.github/workflows/ir20-api-database-binding.yml,STANDARD,51,51,0,0,0,0,0,SURVIVING
.github/workflows/ir20-restore-drill.yml,STANDARD,533,533,0,0,0,0,0,SURVIVING
.github/workflows/labeler.yml,STANDARD,18,18,0,0,0,0,0,SURVIVING
.github/workflows/marketing-social-growth.yml,STANDARD,109,109,0,0,0,0,0,SURVIVING
